epoch,step,loss,val_loss
210,1265,0.3987236022949219,
211,1271,,0.43561503291130066
211,1271,0.37957891821861267,
212,1277,0.37175849080085754,
213,1283,0.39348793029785156,
214,1289,0.3730372488498688,
215,1295,,0.43561145663261414
215,1295,0.39409253001213074,
216,1301,0.3971044719219208,
217,1307,0.3771514296531677,
218,1313,0.37259209156036377,
219,1319,,0.43588998913764954
219,1319,0.39680251479148865,
220,1325,0.38574594259262085,
221,1331,0.3755004405975342,
222,1337,0.3841356039047241,
223,1343,,0.43589887022972107
223,1343,0.3862012028694153,
224,1349,0.3799945116043091,
225,1355,0.3789396584033966,
226,1361,0.4101943075656891,
227,1367,,0.43554383516311646
227,1367,0.3812057077884674,
228,1373,0.3721252381801605,
229,1379,0.3756469488143921,
230,1385,0.40664801001548767,
231,1391,,0.43575459718704224
231,1391,0.381487637758255,
232,1397,0.3707474172115326,
233,1403,0.3882121443748474,
234,1409,0.3931058943271637,
235,1415,,0.4358759820461273
235,1415,0.38031232357025146,
236,1421,0.3829697370529175,
237,1427,0.40273788571357727,
238,1433,0.39579418301582336,
239,1439,,0.4357292354106903
239,1439,0.39733144640922546,
240,1445,0.37992221117019653,
241,1451,0.37482985854148865,
242,1457,0.3857322335243225,
243,1463,,0.4356921315193176
243,1463,0.36905601620674133,
244,1469,0.4092392921447754,
245,1475,0.3746694326400757,
246,1481,0.39404115080833435,
247,1487,,0.4356270730495453
247,1487,0.3797576129436493,
248,1493,0.3974556624889374,
249,1499,0.3670386075973511,
250,1505,0.39394932985305786,
251,1511,,0.4357033967971802
251,1511,0.38057881593704224,
252,1517,0.38487738370895386,
253,1523,0.37938210368156433,
254,1529,0.3722676634788513,
255,1535,,0.43575772643089294
255,1535,0.3948397636413574,
256,1541,0.38891035318374634,
257,1547,0.3851650357246399,
258,1553,0.39920538663864136,
259,1559,,0.4357672333717346
259,1559,0.3826366662979126,
260,1565,0.3636171221733093,
261,1571,0.38619884848594666,
262,1577,0.36842086911201477,
263,1583,,0.43578284978866577
263,1583,0.35956162214279175,
264,1589,0.38106653094291687,
265,1595,0.37318453192710876,
266,1601,0.37936392426490784,
267,1607,,0.43578410148620605
267,1607,0.37589359283447266,
268,1613,0.38822871446609497,
269,1619,0.3850323259830475,
270,1625,0.38914385437965393,
271,1631,,0.43577009439468384
271,1631,0.3752627372741699,
272,1637,0.35266441106796265,
273,1643,0.3944545388221741,
274,1649,0.3635737895965576,
275,1655,,0.4357636272907257
275,1655,0.3874112367630005,
276,1661,0.3880435526371002,
277,1667,0.38229650259017944,
278,1673,0.3816598951816559,
279,1679,,0.4357571005821228
279,1679,0.3470584452152252,
280,1685,0.3826291263103485,
281,1691,0.4019680321216583,
282,1697,0.38505586981773376,
283,1703,,0.4357515871524811
283,1703,0.38131240010261536,
284,1709,0.3706876039505005,
285,1715,0.4116141200065613,
286,1721,0.3986021876335144,
287,1727,,0.4357578456401825
287,1727,0.3703326880931854,
288,1733,0.40127310156822205,
289,1739,0.4056573510169983,
290,1745,0.39410731196403503,
291,1751,,0.43576017022132874
291,1751,0.3827630281448364,
292,1757,0.36205077171325684,
293,1763,0.41159337759017944,
294,1769,0.38380497694015503,
295,1775,,0.43576452136039734
295,1775,0.3660433292388916,
296,1781,0.36785203218460083,
297,1787,0.3893345892429352,
298,1793,0.34906330704689026,
299,1799,,0.43576285243034363
299,1799,0.39386647939682007,
300,1805,0.3644479215145111,
301,1811,0.37009474635124207,
302,1817,0.38155868649482727,
303,1823,,0.43575945496559143
303,1823,0.3778073191642761,
304,1829,0.37086158990859985,
305,1835,0.39379405975341797,
306,1841,0.37374740839004517,
307,1847,,0.4357552230358124
307,1847,0.372638463973999,
308,1853,0.3660583198070526,
309,1859,0.3862868547439575,
310,1865,0.3713337779045105,
311,1871,,0.4357569217681885
311,1871,0.3807236850261688,
312,1877,0.37827691435813904,
313,1883,0.39005449414253235,
314,1889,0.3886672258377075,
315,1895,,0.43575936555862427
315,1895,0.3944482207298279,
316,1901,0.39944979548454285,
317,1907,0.38284793496131897,
318,1913,0.37870365381240845,
319,1919,,0.4357563853263855
319,1919,0.37764185667037964,
320,1925,0.3865734338760376,
321,1931,0.3948754370212555,
322,1937,0.36533835530281067,
323,1943,,0.4357556998729706
323,1943,0.39715874195098877,
324,1949,0.3870692849159241,
325,1955,0.3951333463191986,
326,1961,0.3857017159461975,
327,1967,,0.43575531244277954
327,1967,0.3679391145706177,
328,1973,0.37850332260131836,
329,1979,0.39933112263679504,
330,1985,0.36382463574409485,
331,1991,,0.43575406074523926
331,1991,0.37243959307670593,
332,1997,0.3975248634815216,
333,2003,0.3857385218143463,
334,2009,0.3865377902984619,
335,2015,,0.4357563257217407
335,2015,0.36792925000190735,
336,2021,0.3887636363506317,
337,2027,0.3753918707370758,
338,2033,0.3819226324558258,
339,2039,,0.4357554316520691
339,2039,0.38661009073257446,
340,2045,0.3920847177505493,
341,2051,0.38310784101486206,
342,2057,0.37833455204963684,
343,2063,,0.43575605750083923
343,2063,0.3924455940723419,
344,2069,0.3840320408344269,
345,2075,0.36670607328414917,
346,2081,0.34960657358169556,
347,2087,,0.43575721979141235
347,2087,0.3866451680660248,
348,2093,0.38323426246643066,
349,2099,0.3883516788482666,
350,2105,0.3826685845851898,
351,2111,,0.43575504422187805
351,2111,0.3885290324687958,
352,2117,0.37068527936935425,
353,2123,0.39056313037872314,
354,2129,0.36488601565361023,
355,2135,,0.43575334548950195
355,2135,0.3946962058544159,
356,2141,0.3996068239212036,
357,2147,0.3737792670726776,
358,2153,0.3748149871826172,
359,2159,,0.435749888420105
359,2159,0.3844624161720276,
360,2165,0.38928061723709106,
361,2171,0.39890778064727783,
362,2177,0.395521342754364,
363,2183,,0.43574944138526917
363,2183,0.38681647181510925,
364,2189,0.37292495369911194,
365,2195,0.3989661633968353,
366,2201,0.3936963379383087,
